Context,Question,Answer_Text,Answer_Start_Index,Title
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",Who can the Hero marry?,"Nera, but it is also possible for him to marry Bianca or Debora",1247,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",What is the Hero's homeland?,Gotha,1373,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",What did the Hero and Bianca obtain from the Uptaten Towers?,a mysterious Golden Orb,288,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",Who is the daughter of Rodrigo Briscoletti?,Nera,997,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",Who killed Pankraz?,Ladja,592,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",How does the Hero avenge Pankraz?,killing Ladja,1873,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",Who does the Hero retrieve the golden orb from after entering a time warp?,his child self,2065,Dragon Quest V
"Skyrim, also known as the Old Kingdom, Throat of the World, the Fatherland, or Keizaal, is a vast region set in the northern part of Tamriel. It is the home of the Nords, large and hardy men and women who have a strong resistance to frost, both natural and magical. Skyrim was originally inhabited by a race of Mer known as the Snow Elves, though after the Nordic-Falmer War, the Snow Elves were mostly destroyed and the Atmorans settled the land. It is bordered by Morrowind to the east, the Nibenay and Colovia in Cyrodiil to the south, Hammerfell to the southwest, and High Rock to the west. The island of Solstheim lies to the northeast of Skyrim, now a sovereign territory of Morrowind.",What is Skyrim also known as?,"Old Kingdom, Throat of the World, the Fatherland, or Keizaal",26,Skyrim
"Skyrim, also known as the Old Kingdom, Throat of the World, the Fatherland, or Keizaal, is a vast region set in the northern part of Tamriel. It is the home of the Nords, large and hardy men and women who have a strong resistance to frost, both natural and magical. Skyrim was originally inhabited by a race of Mer known as the Snow Elves, though after the Nordic-Falmer War, the Snow Elves were mostly destroyed and the Atmorans settled the land. It is bordered by Morrowind to the east, the Nibenay and Colovia in Cyrodiil to the south, Hammerfell to the southwest, and High Rock to the west. The island of Solstheim lies to the northeast of Skyrim, now a sovereign territory of Morrowind.",What is Skyrim?,a vast region set in the northern part of Tamriel,91,Skyrim
"Skyrim, also known as the Old Kingdom, Throat of the World, the Fatherland, or Keizaal, is a vast region set in the northern part of Tamriel. It is the home of the Nords, large and hardy men and women who have a strong resistance to frost, both natural and magical. Skyrim was originally inhabited by a race of Mer known as the Snow Elves, though after the Nordic-Falmer War, the Snow Elves were mostly destroyed and the Atmorans settled the land. It is bordered by Morrowind to the east, the Nibenay and Colovia in Cyrodiil to the south, Hammerfell to the southwest, and High Rock to the west. The island of Solstheim lies to the northeast of Skyrim, now a sovereign territory of Morrowind.",Where is the home of the Nords?,Skyrim,0,Skyrim
